t,x,y
8.056,,
8.060,,
8.063,,
8.067,7.852E-3,1.638E-3
8.071,,
8.075,,
8.078,,
8.082,,
8.086,7.852E-3,1.810E-3
8.089,,
8.093,,
8.097,,
8.101,,
8.104,7.879E-3,1.996E-3
8.108,,
8.112,,
8.115,,
8.119,,
8.123,7.826E-3,2.076E-3
8.126,,
8.130,,
8.134,,
8.138,,
8.141,7.755E-3,1.829E-3
8.145,,
8.149,,
8.152,,
8.156,,
8.160,7.737E-3,1.997E-3
8.164,,
8.167,,
8.171,,
8.175,,
8.178,7.727E-3,2.148E-3
8.182,,
8.186,,
8.190,,
8.193,,
8.197,7.727E-3,2.241E-3
8.201,,
8.204,,
8.208,,
8.212,,
8.215,7.737E-3,2.279E-3
8.219,,
8.223,,
8.227,,
8.230,,
8.234,7.737E-3,2.344E-3
8.238,,
8.241,,
8.245,,
8.249,,
8.253,7.709E-3,2.532E-3
8.256,,
8.260,,
8.264,,
8.267,,
8.271,7.746E-3,2.785E-3
8.275,,
8.279,,
8.282,,
8.286,,
8.290,7.784E-3,2.708E-3
8.293,,
8.297,,
8.301,,
8.305,,
8.308,7.756E-3,2.890E-3
8.312,,
8.316,,
8.319,,
8.323,,
8.327,7.826E-3,3.196E-3
8.330,,
8.334,,
8.338,,
8.342,,
8.345,7.840E-3,3.224E-3
8.349,,
8.353,,
8.356,,
8.360,,
8.364,7.854E-3,3.279E-3
8.368,,
8.371,,
8.375,,
8.379,,
8.382,7.868E-3,3.321E-3
8.386,,
8.390,,
8.394,,
8.397,,
8.401,7.896E-3,3.447E-3
